SCONTRINO_ID,COD_MKT_ID
2558064013053,1580
2558064013053,1661
2558064013053,2068
2558064013053,2556
2558064013053,2650
2558064013053,4225
2558064013054,437
2558064013054,1278
2558064013054,1614
2558064013054,2089
2558064013054,2243
2558064013054,2245
2558064013054,2443
2558064013054,2551
2558064013054,3448
2558064013054,6172
2558064013055,151
2558064013055,595
2558064013055,2650
2558064013055,4600
2558064013055,4872
2558064013056,142
2558064013056,437
2558064013056,2499
2558064013056,2515
2558064013056,3458
2558064013056,3675
2558064013056,4044
2558064013057,437
2558064013057,3087
2558064013058,445
2558064013058,446
2558064013058,2050
2558064013058,2650
2558064013058,5046
2558064013059,483
2558064013059,920
2558064013059,1461
2558064013059,1488
2558064013059,2241
2558064013059,3682
2558064013059,4069
2558064013059,4079
2558064013059,4109
2558064013059,4844
2558064013059,4847
2558064013060,1581
2558064013060,2650
2558064013060,2731
2558064013060,3087
2558064013060,4176
2558064013061,384
2558064013061,560
2558064013061,2065
2558064013061,2243
2558064013061,2499
2558064013061,4041
2558064013062,607
2558064013062,2122
2558064013062,2650
2558064013062,4655
2558064013063,445
2558064013063,560
2558064013063,1658
2558064013064,1425
2558064013064,4391
2558064013064,4601
2558064013065,920
2558064013066,437
2558064013066,477
2558064013066,923
2558064013066,1241
2558064013066,1265
2558064013066,1419
2558064013066,1993
2558064013066,2065
2558064013066,2074
2558064013066,2451
2558064013066,2479
2558064013066,2490
2558064013066,3074
2558064013066,3739
2558064013066,4031
2558064013066,4109
2558064013066,4445
2558064013066,4600
2558064013066,4665
2558064013066,5685
2558064013066,3000491
2558064013067,476
2558064013067,1545
2558064013067,2650
2558064013068,920
2558064013068,1419
2558064013068,2058
2558064013068,2495
2558064013068,2551
2558064013068,2729
2558064013068,4037
2558064013068,4044
2558064013068,4053
2558064013068,4106
2558064013068,4180
2558064013068,5064
2558064013068,5072
2558064013068,3000375
2558064013069,216
2558064013069,445
2558064013069,560
2558064013069,3739
2558064013069,4063
2558064013069,4271
2558064013070,437
2558064013070,439
2558064013070,920
2558064013070,1265
2558064013070,1639
2558064013070,2085
2558064013070,2089
2558064013070,2109
2558064013070,2443
2558064013070,2650
2558064013070,4044
2558064013070,4428
2558064013071,445
2558064013072,143
2558064013072,570
2558064013072,2050
2558064013072,2194
2558064013072,2243
2558064013072,2650
2558064013072,2980
2558064013072,3459
2558064013072,3675
2558064013072,4129
2558064013072,5069
2558064013073,140
2558064013073,476
2558064013073,2471
2558064013073,2497
2558064013073,2650
2558064013073,3453
2558064013073,4064
2558064013073,3000231
2558064013073,3000449
2558064013074,920
2558064013074,2443
2558064013074,2498
2558064013074,2514
2558064013074,3675
2558064013074,6172
2558064013075,164
2558064013075,2650
2558064013076,500
2558064013076,1090
2558064013076,2084
2558064013076,2495
2558064013076,2532
2558064013076,2556
2558064013076,3074
2558064013076,3448
2558064013076,3663
2558064013076,3739
2558064013076,4003
2558064013077,393
2558064013077,595
2558064013077,3458
2558064013078,140
2558064013078,1580
2558064013078,1614
2558064013078,2762
2558064013078,3000231
2558064013079,34
2558064013079,176
2558064013079,446
2558064013079,477
2558064013079,920
2558064013079,1100
2558064013079,1706
